seller_key,seller_id,total_revenue,orders_count,items_sold,avg_order_value,avg_review_score,cancelled_orders_rate,distinct_products_sold,cluster
1373,218f991754f360af9c2daa5e0b8e990c,3554.32,14,17,253.88,3.6923076923076925,0.0,13,0
2204,165fc07beebdcb6190fba8a06db2a449,17481.4,50,64,349.628,3.7693023255813953,0.0,52,0
2469,0936e1837d0c79253456bbb2ffaaef10,38.9,1,2,38.9,5.0,0.0,1,0
2642,119c7f1a00ef43fad0e57604e76a747c,189.8,2,2,94.9,4.5,0.0,2,0
638,49cdc90518a4f82676b38b3c1aa43ff6,1539.5,5,5,307.9,3.8,0.0,5,0
1268,da6a60cc8cc724fe51be021ff8be779c,728.79,12,13,60.7325,4.75,0.0,13,0
2749,5656537e588803a555b8eb41f07a944b,8065.93,174,188,46.355919540229884,3.865263157894737,0.0,170,0
940,3afc536624bc2e65bddfb5db33cc01f3,312.0,6,6,52.0,3.5,0.0,6,0
173,d6ab728cf30867cf3f1a2e216ae2f9b7,2002.0,12,14,166.83333333333334,4.6,0.0,14,0
1963,058fd0aa2bfdb2274e05e1ae971dabb6,7667.9,61,64,125.70327868852459,4.346470588235294,0.0,60,0
2855,70eea00b476a314817cefde4aad4f89a,31994.65,108,114,296.24675925925925,4.379666666666667,0.0,107,0
42,718539d38d07dd351c76db862760e2e2,1318.9,37,45,35.64594594594595,4.414285714285715,0.05405405405405406,39,0
2276,54a1852d1b8f10312c55e906355666ee,17226.44,200,204,86.1322,4.368098159509202,0.0,194,3
161,73b8eb4a9a729d4019b24ed1be748cbf,692.41,8,8,86.55125,4.285714285714286,0.125,8,0
876,9ed65337433adfbedefd23dd76eaa494,1262.6,6,6,210.43333333333334,4.833333333333333,0.0,6,0
2631,003554e2dce176b5555353e4f3555ac8,120.0,1,1,120.0,5.0,0.0,1,0
113,c6381b1321d7d97717a5bb4ed5b77882,66.0,2,3,33.0,3.0,0.0,3,0
1742,2c9005d8043aff18b8557ffb7b13cda4,109.9,1,1,109.9,5.0,0.0,1,0
2172,94d76e96eedd976258cd3278ce56d5f2,385.61,1,1,385.61,5.0,0.0,1,0
2420,83353a83fd769dfafa4f21a72b15e3e5,579.5,5,5,115.9,3.8,0.0,5,0
2983,50bf89f1349bc0409a268c3a49678009,179.9,1,1,179.9,5.0,0.0,1,0
632,92992bec39dde5766f590d3b1f46d465,109.0,1,1,109.0,1.0,1.0,1,2
1595,70f84699be677ec988d1fa824aef7d90,1588.3,5,5,317.66,4.6,0.0,5,0
1372,fe19dce63ae80346207c6c55713d1023,49.9,1,1,49.9,5.0,0.0,1,0
658,a4b8d97cd5d3674eeff96abc99d8ed67,214.08,1,1,214.08,1.0,0.0,1,0
2990,c54679b132454625907c773d273d4126,1032.0,7,8,147.42857142857142,4.857142857142857,0.0,7,0
815,01cf7e3d21494c41fb86034f2e714fa1,9729.36,61,67,159.49770491803278,4.1034,0.0,59,0
440,6ba4733aa33f6386e9fb0c0fd3993b38,149.79,3,3,49.93,4.666666666666667,0.0,3,0
1422,8ae520247981aa06bc94abddf5f46d34,16320.99,65,65,251.09215384615385,4.491071428571429,0.0,65,0
2054,e3d3b3efac954a60d61be70b7e05b49b,1282.05,3,3,427.35,4.333333333333333,0.0,3,0
1004,822b63912576852aea9a8436d72317b7,4905.69,8,9,613.21125,3.8333333333333335,0.0,7,0
2702,8fe8786ee000001ab51d030dfd4a7bf1,2255.0,5,5,451.0,4.6,0.0,5,0
57,05e107217c7266362fd44b75b2cd4cc4,193.38,5,8,38.676,4.1675,0.0,5,0
3071,270d3ef21830ad0ecf3a6c53d08a533a,509.0,6,18,84.83333333333333,2.3333333333333335,0.0,6,0
2404,bac44fa8e13424950488659b5f765c41,19.9,1,1,19.9,5.0,0.0,1,0
1313,87d3c3aeb3ead335511b3ce315eb341e,749.35,15,15,49.95666666666666,3.5,0.0,15,0
19,8b28d096634035667e8263d57ba3368c,9375.7,143,155,65.56433566433566,3.973425925925926,0.006993006993006993,136,0
160,d32e3909cfb714fb2a6cb092c85b9c5f,2827.9,10,11,282.79,3.5,0.0,10,0
2721,586a871d4f1221763fddb6ceefdeb95e,198.0,1,2,198.0,1.0,0.0,1,0
644,c6bda72e4dbf5c5866b13cb1810c6d03,14059.38,59,59,238.29457627118643,4.3979591836734695,0.0,58,0
824,2b03ac196f5ed62ac483960fe0fa3b65,843.1,7,7,120.44285714285714,4.142857142857143,0.0,7,0
3093,b2eecf5ea250510da76590ca79d60e5d,1060.0,9,11,117.77777777777777,5.0,0.0,9,0
1857,a35124e2d763d7ca3fbe3b97d143200f,411.5,4,7,102.875,4.75,0.0,4,0
1262,e0b162a693bc7f9eab00f783a31d60ea,20.0,1,1,20.0,5.0,0.0,1,0
357,ad8b531ae67582f096925cff5630d0d1,208.35,3,3,69.45,3.0,0.3333333333333333,3,0
2366,984c273121e743dd14767befe6cb17f5,259.6,1,1,259.6,1.0,0.0,1,0
1143,a254c682cc01e119f83530446f1df9a9,569.4,6,7,94.9,4.0,0.0,6,0
769,ea566164622c6b439516ab18062c42cd,10309.42,50,52,206.1884,3.7575,0.0,49,0
1782,f44b6f775a2b390380e0e30b5c9d3eee,2930.0,10,10,293.0,4.9,0.0,10,0
2661,5e25c632f9db6cfb8bc100421c2737b6,259.0,1,1,259.0,5.0,0.0,1,0
266,ea67327e24487bdfac5fbfa37ea124df,6250.18,32,34,195.318125,3.5344827586206895,0.0,33,0
2543,f9eedec3129e8cc6b6429c42d0808c5b,789.8,2,2,394.9,4.5,0.0,2,0
1550,82921991ff5b557b045605b8bbf08d49,18.9,1,1,18.9,5.0,0.0,1,0
1287,3d621842b2ed28e2b474132480edac3c,928.91,10,10,92.891,3.8333333333333335,0.0,10,0
366,35ef5aa32949680f627efec3c23e705c,361.6,4,5,90.4,3.75,0.0,4,0
307,062ce95fa2ad4dfaedfc79260130565f,7521.0,55,60,136.74545454545455,4.052083333333333,0.0,55,0
2352,2075d8cd4dd63ff12df0749a5866bb06,184.7,3,3,61.56666666666667,5.0,0.0,2,0
1644,c13fb473e7cb8b83ccd543c094df0608,54.8,2,2,27.4,3.5,0.0,2,0
91,863d2ebcd347ce4922de7a0f9a5581d6,1382.36,18,19,76.79777777777778,3.8529411764705883,0.0,19,0
2764,659e8466eb3ff1b0e8740d74fb7bbedd,1486.8,11,14,135.16363636363636,4.363636363636363,0.0,12,0
305,16090f2ca825584b5a147ab24aa30c86,25716.44,402,410,63.97124378109453,4.071484716157205,0.0,359,3
1606,0791d9fc1e30678ecf03d3e55fa108d3,842.0,5,11,168.4,4.0,0.0,7,0
1312,fa1a9dec3a9940c072684a46728bf1fc,6674.0,55,60,121.34545454545454,4.098958333333333,0.0,57,0
743,077c5fae4bea9500e3737b16f71b9d3a,106.8,4,6,26.7,4.5,0.0,4,0
1484,cc3d14116804f7209f3884f6367f1152,5477.8,27,30,202.88148148148147,4.62962962962963,0.0,27,0
2684,1f50f920176fa81dab994f9023523100,106939.21,1404,1931,76.16752849002849,4.144381443298969,0.0007122507122507123,929,1
10,180c3376aff0e43dd5788709df48a843,4513.0,5,10,902.6,4.25,0.0,5,0
1940,5b2e94f2c22b39ccc24d34ad0f669672,949.78,10,10,94.978,4.9,0.0,10,0
1984,b839e41795b7f3ad94cc2014a52f6796,42829.0,33,36,1297.8484848484848,4.103448275862069,0.0,33,0
3068,2addf05f476d0637864454e93ba673d5,4552.0,12,12,379.3333333333333,5.0,0.0,12,0
2168,6860153b69cc696d5dcfe1cdaaafcf62,3827.63,74,84,51.72472972972973,4.041666666666667,0.0,68,0
2636,377bc18334c78dd2f1535ef22a3ad225,135.98,1,1,135.98,5.0,0.0,1,0
1602,68ca56ce86830f3d31b1b7ec6a54da3e,719.59,6,6,119.93166666666667,3.8333333333333335,0.0,6,0
2773,d3674f271c91f824f82d24d92011f669,1718.3,20,20,85.915,4.078947368421052,0.0,19,0
822,265fdc289dffa9f1ad801c74f7d0de47,495.0,1,1,495.0,5.0,0.0,1,0
2544,0bebbb2cea103a4a020c95d43fd7d754,1367.2,9,9,151.9111111111111,4.9375,0.0,9,0
1662,13d95f0f6f73943d4ceffad0fc2cd32c,249.99,1,1,249.99,3.0,0.0,1,0
823,850f4f8af5ea87287ac68de36e29107f,45355.36,187,192,242.5420320855615,4.265481481481482,0.0,167,3
2825,6f83d9e4da896daae20b9b6b2d3ff8d2,765.19,11,11,69.56272727272727,4.333333333333333,0.0,9,0
3078,6025c79c035c3d772133b8b8238463b2,989.74,2,4,494.87,5.0,0.0,3,0
1118,606ce7768feac12c5e8bd58db8b08f0f,2916.6,5,5,583.32,4.8,0.0,5,0
2796,9d4db00d65d7760644ac0c14edb5fd86,9979.7,98,100,101.83367346938776,4.4744,0.0,92,0
1990,37303482a42fb700d8d127e70a9cd6c8,148.89,2,2,74.445,3.0,0.0,2,0
241,4324dd16853115efb0fd9d0d131ba6f4,1052.25,12,18,87.6875,4.083333333333333,0.0,12,0
175,66922902710d126a0e7d26b0e3805106,14362.3,151,156,95.11456953642384,4.45017094017094,0.0,144,0
1025,e83c76265fc54bf41eac728805e4da77,237.3,8,8,29.6625,3.625,0.0,8,0
596,6f1a1263039c76e68f40a8e536b1da6a,256.39,4,7,64.0975,1.5,0.0,4,0
50,a23266650e7c84bb93fbbba502137478,1512.4,11,16,137.4909090909091,3.8181818181818183,0.0,11,0
3018,8f2ce03f928b567e3d56181ae20ae952,21712.9,153,175,141.91437908496732,4.153495934959349,0.0,152,3
2891,bd65d163ded559eb90a10cd09fec178f,19.8,1,2,19.8,4.0,0.0,2,0
13,83f2b4881141ce3fcd4e985125d3279e,60.7,3,3,20.233333333333334,5.0,0.0,3,0
1319,709e16e2b25c7474d980076c6bfc4806,5151.9,60,80,85.865,4.503269230769231,0.0,60,0
1776,1127b7f2594683f2510f1c2c834a486b,6851.33,114,132,60.09938596491228,4.123762376237623,0.03508771929824561,117,0
1104,efff9341f3f8f5237b44ff67ed36a7bf,872.99,5,5,174.598,4.4,0.0,5,0
2890,0ddefe3c7a032b91f4e25b9c3a08fca1,402.9,9,10,44.766666666666666,4.54125,0.0,8,0
2,0bfd0b434243adc5c2e1aa6baf19c6aa,371.2,6,6,61.86666666666667,3.6666666666666665,0.0,6,0
699,8602a61d680a10a82cceeeda0d99ea3d,826.99,17,19,48.646470588235296,4.566666666666666,0.0,17,0
1936,28f10b1c5e5abb9d4857745bede6147c,835.0,28,28,29.821428571428573,4.04,0.0,26,0
1975,b8555308bfdb4ca1ed54325a58da9a97,3047.2,26,28,117.2,4.0,0.0,25,0
2770,001e6ad469a905060d959994f1b41e4f,250.0,1,1,250.0,1.0,1.0,1,2
246,269c5fc9fcadee614364c3620c30a1f9,209.6,3,6,69.86666666666666,5.0,0.0,3,0
75,f1ce5fdecd64935c28b9ff932751d0dc,158.0,2,2,79.0,4.5,0.0,2,0
1603,4da0e408c99d2fdc2126dc9fce518060,3026.0,44,54,68.77272727272727,4.401794871794872,0.0,48,0
128,634964b17796e64304cadf1ad3050fb7,39465.1,268,326,147.25783582089554,4.070062893081761,0.0037313432835820895,213,3
1942,c273175f7c6c80fb02f051e2fc6d0d72,1188.23,14,14,84.87357142857142,3.7857142857142856,0.0,14,0
1992,e62b2d6ac10570a035a30bafcf01d263,5340.39,62,71,86.13532258064517,3.9134,0.0,60,0
2275,4a82c4af97ffc0fb2dc26bfdc03b1842,143.7,3,3,47.9,5.0,0.0,3,0
344,e1bed63d68ac36fe1f3061befe196af5,199.0,1,1,199.0,5.0,0.0,1,0
1078,4f1f1c8666cdb6442f775c4e8caed465,944.98,2,2,472.49,5.0,0.0,2,0
2857,79b93a308a97792cf53ac75f46da00b5,99.9,1,1,99.9,5.0,0.0,1,0
2799,3dbbce181edfaa4a597ec858c382d2ec,848.3,17,20,49.9,4.235294117647059,0.0,18,0
534,d03698c2efd04a549382afa6623e27fb,8865.47,18,21,492.5261111111111,4.5,0.0,18,0
2140,186cdd1b2df32caa72cfb410bba768d3,1341.45,6,6,223.575,5.0,0.0,6,0
1522,9d39404483343dd55c7ae254494d8388,293.2,10,10,29.32,3.5,0.0,10,0
355,26e2e5033827d2ba53929f43e03d8ffe,139.49,1,1,139.49,5.0,0.0,1,0
1967,0e72c1a751b496722a6cb1f10653b62a,140.8,3,3,46.93333333333333,4.666666666666667,0.0,3,0
637,3f9be91358837bff69df67edfa3e42e8,569.7,7,7,81.38571428571429,4.666666666666667,0.0,7,0
2575,fe9d9cf8631285d5982c6e2cf27fb114,69.9,1,1,69.9,4.0,0.0,1,0
1279,88460e8ebdecbfecb5f9601833981930,31546.55,248,302,127.20383064516129,3.589622641509434,0.004032258064516129,174,3
1403,ae45ad30c2d2e5913094769690a239d2,251.8,1,2,251.8,5.0,0.0,1,0
2528,a5a1bfcf728ab0e19182959cf0771ee4,1812.96,21,24,86.33142857142857,4.315789473684211,0.0,19,0
2952,157c3e4b42f81ac4a44e8b1ca2fe9876,2548.5,23,31,110.80434782608695,3.7272727272727275,0.0,23,0
2599,782f78b632a43875dd5b53e3e49c9564,146.01,2,3,73.005,3.0,0.5,2,2
222,5bffbafbb22daf6d3bfc216a46db8708,5239.7,21,23,249.5095238095238,4.7631578947368425,0.0,21,0
1006,0aea4c6ae1505b3228ddf3dd7822ee5b,1427.91,8,8,178.48875,3.875,0.0,8,0
2742,c8143b3069f6746a77421b5ce30a450c,142.47,1,1,142.47,5.0,0.0,1,0
2683,79ed755314cfe6df0daef2c6cd3022cd,3907.5,23,25,169.8913043478261,4.714285714285714,0.0,23,0
2791,1f2eebc0e970fd3c463e4f5d9652687a,44.99,1,1,44.99,5.0,0.0,1,0
3046,8cbac7e12637ed9cffa18c7875207478,2990.98,67,82,44.64149253731343,4.161311475409836,0.0,65,0
922,96e5dc09087bad639b4ee193104ec2e5,101.9,2,2,50.95,4.5,0.0,2,0
453,dd4d95ba2d15c071e6c695e2ef6ce169,1748.0,4,4,437.0,4.25,0.0,4,0
787,bb2afe2061d53c6968aa0cffa233a8ec,549.4,5,6,109.88,4.8,0.0,5,0
2099,ce69a8021d18961dd2a40269b7c2c293,4818.0,19,19,253.57894736842104,4.5,0.0,18,0
2920,7c9130f5f3729edd32aa059141d92484,126.0,3,4,42.0,3.3333333333333335,0.0,3,0
2555,7238f877570096ae403c51898fa64566,1200.0,3,3,400.0,5.0,0.0,3,0
182,3b18f9856c6eb2413eafedb58e9eecd9,315.0,1,1,315.0,5.0,0.0,1,0
1950,c004e5ea15737026cecaee0447e00b75,4700.0,2,2,2350.0,1.0,0.5,2,2
528,fe1b067411b8c5066e962aa146ccee03,847.78,8,8,105.9725,4.666666666666667,0.0,7,0
563,6e4f5ff6b086632ba8dcb558fb10249e,838.9,5,5,167.78,3.4,0.0,5,0
1549,a13580f0e8f782b7a543885a0ef99f08,1304.9,10,10,130.49,4.4,0.0,10,0
3047,c0563dd588b775f2e37747ef6ad6c92c,3697.2,28,28,132.04285714285714,4.388888888888889,0.0,28,0
811,eb3071b9f0b0ddaa2df5ea130f09f26b,6230.0,9,11,692.2222222222222,4.555555555555555,0.0,9,0
1474,9b76ad3d04236f76bc71c59470305e13,394.7,2,3,197.35,5.0,0.0,2,0
1616,b452cb0ae35044c4a53179c39f49fb06,63.7,2,2,31.85,4.0,0.0,2,0
667,850913d59ce317156b00f3705f1c3edb,2690.0,32,34,84.0625,3.444444444444444,0.03125,29,0
1613,e64d65bc8dbec2accda90c58de5d1246,1678.8,12,12,139.9,3.7777777777777777,0.0,9,0
481,55029529919c0123526150bd26ca8f20,453.95,7,7,64.85,4.75,0.0,7,0
1828,a435b009cd956ea60748b5cfbddf2e24,361.18,3,3,120.39333333333333,4.333333333333333,0.0,3,0
1779,95ec4458365c4d11f452ccf538377619,1866.76,27,31,69.13925925925926,4.695454545454545,0.0,30,0
2098,7a67c85e85bb2ce8582c35f2203ad736,141745.53,1160,1171,122.1944224137931,4.2115498938428875,0.0008620689655172414,1063,1
2675,e1dc0754bada9ee4cfe9713f22f61292,885.0,12,12,73.75,4.15,0.0,11,0
382,713e3a23ca5e47786eb6f0d99f94cfac,1126.0,4,4,281.5,4.75,0.0,4,0
1804,cee48807215b30a12ca2ca10ffb5f250,7212.23,39,40,184.92897435897436,3.805555555555556,0.0,38,0
438,4450bd8327d471c4a11a83d1445b1b62,199.0,1,1,199.0,5.0,0.0,1,0
853,eaaa46e98c9e61f6764dd1d7a2ab8b3e,98.0,1,1,98.0,5.0,0.0,1,0
378,e3dd723429d1b23614b7fa85e2c7a853,471.05,7,8,67.29285714285714,3.7142857142857144,0.0,7,0
2579,343e716476e3748b069f980efbaa294e,922.6,17,24,54.27058823529412,4.232142857142857,0.0,24,0
2526,08061dc0fc165ed41288cc7acde738ee,123.8,4,4,30.95,4.5,0.0,4,0
2073,bd15ee794d5e640d9dd71b665b2ab15b,374.8,12,12,31.233333333333334,4.0,0.0,12,0
1349,ba6b4a237f92479743cf0ca06b67a9ac,801.89,8,8,100.23625,4.25,0.0,8,0
1050,bafc5aa11e413978be29040f51342e70,1679.55,9,9,186.61666666666667,3.7777777777777777,0.0,9,0
1788,3d3ccf2b2f8134b10dce9dd446f0e075,608.6,3,3,202.86666666666667,3.3333333333333335,0.0,3,0
2393,cda598c48d7c614bc1cad7d8ff6f0010,1118.6,17,18,65.8,4.066666666666666,0.0,17,0
799,e4fc40017a6d22c46a14ac2e17f87c3e,387.0,3,3,129.0,2.3333333333333335,0.0,3,0
276,747e73c01a4593d4cf60dcf970fd2689,2217.99,3,3,739.33,4.333333333333333,0.0,3,0
1523,e0482f2c769468c3bbcd8a01e09d98c5,189.0,1,1,189.0,4.0,0.0,1,0
1044,8629a7efec1aab257e58cda559f03ba7,45.22,1,1,45.22,1.0,0.0,1,0
97,d3dcf0604eabf0224fbd5948b5e02f69,2902.3,9,9,322.47777777777776,3.888888888888889,0.0,9,0
1823,8476243f92442881ddd5b578975cf115,7838.0,12,12,653.1666666666666,4.1,0.0,10,0
1848,5566627eab3fe93fd6ee08798226101a,85.5,5,5,17.1,4.4,0.0,5,0
589,6750d71153f00fc58829af2a8ef1bcf1,3514.0,6,6,585.6666666666666,4.166666666666667,0.0,6,0
2925,1f867308a0ce13133a4e639ff4de0c02,875.1,7,13,125.01428571428572,4.142857142857143,0.0,7,0
1167,a4b6b9b992b46e9ef863637af96e04bc,7147.0,7,14,1021.0,3.2857142857142856,0.14285714285714285,7,0
2388,b45d7ebfb7378630f1bcd74b6ff86ff7,1007.5,5,5,201.5,3.8,0.2,5,0
555,44717f64ec2a457979cf83c429077666,107.0,2,3,53.5,5.0,0.0,2,0
3054,4e85b538b0dad58852641540686d0e14,361.98,4,4,90.495,3.75,0.0,4,0
1583,822bad9bc42b51213ba522fe87b7ab5d,5160.0,18,18,286.6666666666667,4.176470588235294,0.0,17,0
329,63191ead8d3b2f937cd1996fdcbbad20,367.0,1,1,367.0,5.0,0.0,1,0
682,d9bd94811c3338dceb4181f3dbc0c73e,6911.02,54,61,127.98185185185186,4.8686842105263155,0.0,50,0
567,a3f0b55de503387383c7b1de3ad7f678,4348.4,24,26,181.18333333333334,4.431818181818182,0.0,25,0
44,7210cd29727d674c00741e5e387b3ccd,729.09,9,13,81.01,4.53,0.0,9,0
1144,ffa6adafb71b807dc13159e26431354c,2669.9,18,18,148.32777777777778,3.735294117647059,0.0,18,0
2150,de66a66f2dd06bb9ec37aa96987466a3,353.32,7,8,50.47428571428571,4.111666666666666,0.0,7,0
816,5f5a58930c3c35f3b5af264f34fb8c85,560.0,3,3,186.66666666666666,5.0,0.0,2,0
2598,79565f7d5603b24ddf07ade262547f2f,385.0,8,8,48.125,4.0,0.0,8,0
1585,f0563bacf40c311f1c4d3d6b67b8a7a7,1199.0,1,1,1199.0,1.0,0.0,1,0
2391,ef0ace09169ac090589d85746e3e036f,16223.3,129,140,125.76201550387597,4.4040860215053765,0.0,117,0
1646,ceb7b4fb9401cd378de7886317ad1b47,399.9,1,1,399.9,3.0,0.0,1,0
1398,55d3daac7c404d59e51c2aa2f4dc5a23,4480.6,21,28,213.36190476190475,4.095238095238095,0.0,21,0
1987,caa9bc43a9fe8cf9c564ddd8a03cc4a6,803.87,13,14,61.83615384615385,4.697272727272727,0.0,12,0
507,6c77cd583b36a13aacccf2b3ee23e233,18.9,1,1,18.9,5.0,0.0,1,0
1022,700f03c207639c22d933381ff60b35c2,1189.86,4,4,297.465,4.0,0.0,4,0
2951,de0c78824586e9a5f5f04fd84e25df39,2489.3,14,16,177.80714285714285,4.615384615384615,0.0,13,0
944,31344c16881c08a8a72c6d2eb29918c1,9615.7,43,43,223.62093023255815,4.404761904761905,0.0,42,0
847,ed859002ad59dbf8cf3602696a6c3000,2421.7,7,13,345.95714285714286,3.84,0.0,6,0
419,b26741d31a563d769b4af0465ab20c56,648.0,2,2,324.0,4.0,0.0,2,0
1336,b1aaae6b66ad3c40f54b389d7ea4bee0,1176.5,15,17,78.43333333333334,4.4,0.0,17,0
664,5ee7fd217d08dfe5d3e2f51f96a12c9a,1165.5,9,9,129.5,3.5,0.0,9,0
3035,5b0cc932433fa5184b5b94bfe6bcc256,1437.8,12,17,119.81666666666666,3.4811111111111113,0.0,11,0
2601,3442f8959a84dea7ee197c632cb2df15,218.7,3,3,72.9,3.0,0.0,3,0
2760,5f5b43b2bffa8656e4bc6efeb13cc649,3677.2,27,29,136.1925925925926,4.4,0.0,28,0
2235,7f5e4d5efad7e44b91115dd1decb65f3,179.9,3,9,59.96666666666667,5.0,0.0,3,0
551,71dc18fd8cbf5fd77f45dd8b427abb34,1080.0,4,9,270.0,5.0,0.0,4,0
2214,cb3dd9ce66268c7a3ca7241ac70ab58c,2879.76,50,52,57.5952,4.26595744680851,0.02,51,0
948,de09d00cfc265b8804c7df34075a68fa,784.0,3,3,261.3333333333333,3.3333333333333335,0.0,3,0
95,f235413f677777a0738ff215d0184901,1696.7,3,3,565.5666666666667,3.6666666666666665,0.3333333333333333,3,0
1540,fcba71d4d5db057f43249145e4eb1e27,494.55,3,3,164.85,4.666666666666667,0.0,3,0
2540,855668e0971d4dfd7bef1b6a4133b41b,32208.16,312,327,103.23128205128205,3.7295098039215686,0.00641025641025641,301,3
1434,e84ad2127668df3aafc6b73531a0beb8,987.0,19,23,51.94736842105263,4.333333333333333,0.0,19,0
519,23ca5f678e0b3ea6c630b30fa8bf51ea,183.0,6,7,30.5,5.0,0.0,6,0
172,cad9969167c09b48ae6f1d123f7fa68d,43.2,2,2,21.6,3.0,0.5,2,2
1250,9da1ca0bef29ee170e541927a5aeabdc,1484.4,6,6,247.4,3.0,0.0,6,0
965,520b493b57809f446cb0a233bb3e25c7,3698.9,63,73,58.712698412698415,4.379019607843137,0.0,63,0
409,35857757f553273b1056c1cabdace7fb,454.6,6,6,75.76666666666667,4.0,0.0,6,0
1966,4d6d651bd7684af3fffabd5f08d12e5a,43587.4,369,395,118.1230352303523,4.23390350877193,0.0027100271002710027,356,3
30,d26aa40b90272d4843d63be7c1462c8d,152.9,2,2,76.45,4.5,0.0,2,0
2303,53088c75f948b48a7ece173ac17f0c12,261.7,3,3,87.23333333333333,5.0,0.0,3,0
